name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_1-05,gauss,otsu,1.7,10,33.96857,33.73228,-0.69561,0.97769,0.98138,0.37742,0.99717,0.99501,-0.21661,5.98537,10.31099,72.26988,0.99124002456665,0.982320010662079,-0.899879992008209
Case_1-05,gauss,otsu,2,12,33.96857,33.09294,-2.57777,0.97769,0.98008,0.24445,0.99717,0.99366,-0.352,5.98537,13.22561,120.96562,0.99124002456665,0.975830018520355,-1.55462002754211
Case_1-06,gauss,otsu,0.4,2,33.43442,22.58035,-32.46376,0.97686,0.90498,-7.35827,0.99698,0.93969,-5.74635,6.54726,10.05807,53.62258,0.993139982223511,0.963029980659485,-3.03180003166199
Case_1-06,gauss,otsu,0.7,4,33.43442,31.94362,-4.45888,0.97686,0.97441,-0.2508,0.99698,0.99372,-0.32699,6.54726,9.38355,43.32026,0.993139982223511,0.992290019989014,-0.0855799987912178
Case_1-06,gauss,otsu,1.1,6,33.43442,33.21014,-0.67081,0.97686,0.97925,0.24466,0.99698,0.99539,-0.15948,6.54726,9.24405,41.1896,0.993139982223511,0.991479992866516,-0.167150005698204
Case_1-06,gauss,otsu,1.4,8,33.43442,33.34631,-0.26353,0.97686,0.9803,0.35215,0.99698,0.99522,-0.17653,6.54726,10.45702,59.71597,0.993139982223511,0.988979995250702,-0.418870002031326
Case_1-06,gauss,otsu,1.7,10,33.43442,32.99324,-1.31954,0.97686,0.97983,0.30404,0.99698,0.99432,-0.26681,6.54726,13.06194,99.50239,0.993139982223511,0.98470002412796,-0.849829971790314
Case_1-06,gauss,otsu,2,12,33.43442,32.25146,-3.53815,0.97686,0.97804,0.1208,0.99698,0.99269,-0.4303,6.54726,17.06222,160.60092,0.993139982223511,0.978510022163391,-1.47309994697571
Case_1-07,gauss,otsu,0.4,2,33.7408,23.31601,-30.89669,0.98074,0.91859,-6.33705,0.99621,0.93412,-6.23262,6.24799,9.00922,44.19389,0.991209983825684,0.961939990520477,-2.95296001434326
Case_1-07,gauss,otsu,0.7,4,33.7408,32.72043,-3.02414,0.98074,0.97923,-0.15397,0.99621,0.99344,-0.27805,6.24799,8.17846,30.89746,0.991209983825684,0.990960001945496,-0.0252199992537498
Case_1-07,gauss,otsu,1.1,6,33.7408,33.79782,0.16899,0.98074,0.98289,0.21922,0.99621,0.99486,-0.13551,6.24799,8.02922,28.50885,0.991209983825684,0.989650011062622,-0.157379999756813
Case_1-07,gauss,otsu,1.4,8,33.7408,33.86191,0.35894,0.98074,0.9834,0.27122,0.99621,0.99445,-0.17667,6.24799,9.16298,46.65484,0.991209983825684,0.986320018768311,-0.493330001831055
Case_1-07,gauss,otsu,1.7,10,33.7408,33.45762,-0.83928,0.98074,0.98257,0.18659,0.99621,0.99318,-0.30415,6.24799,11.4645,83.49101,0.991209983825684,0.980920016765594,-1.03812003135681
Case_1-07,gauss,otsu,2,12,33.7408,32.72005,-3.02527,0.98074,0.98067,-0.00714,0.99621,0.99114,-0.50893,6.24799,14.83065,137.36674,0.991209983825684,0.973469972610474,-1.78972995281219
Case_1-08,gauss,otsu,0.4,2,34.15219,22.71464,-33.48995,0.97482,0.90597,-7.06284,0.99749,0.94229,-5.53389,5.59093,8.04679,43.92579,0.991580009460449,0.957750022411346,-3.41173005104065
Case_1-08,gauss,otsu,0.7,4,34.15219,32.45828,-4.95989,0.97482,0.97307,-0.17952,0.99749,0.99456,-0.29374,5.59093,7.39657,32.29588,0.991580009460449,0.991249978542328,-0.0332800000905991
Case_1-08,gauss,otsu,1.1,6,34.15219,34.09411,-0.17006,0.97482,0.97857,0.38469,0.99749,0.99643,-0.10627,5.59093,7.13981,27.70344,0.991580009460449,0.990750014781952,-0.0837000012397766
Case_1-08,gauss,otsu,1.4,8,34.15219,34.24291,0.26563,0.97482,0.97984,0.51497,0.99749,0.99629,-0.1203,5.59093,7.92835,41.80736,0.991580009460449,0.988390028476715,-0.321709990501404
Case_1-08,gauss,otsu,1.7,10,34.15219,33.98379,-0.49309,0.97482,0.97986,0.51702,0.99749,0.99564,-0.18547,5.59093,9.70545,73.59277,0.991580009460449,0.984399974346161,-0.72409999370575
Case_1-08,gauss,otsu,2,12,34.15219,33.4032,-2.1931,0.97482,0.97884,0.41238,0.99749,0.99453,-0.29674,5.59093,12.42719,122.27411,0.991580009460449,0.978810012340546,-1.28784000873566
Case_10-01,gauss,otsu,0.4,2,32.91349,24.48544,-25.60667,0.96404,0.90954,-5.65329,0.99302,0.92748,-6.60007,8.02992,11.4663,42.7947,0.99141001701355,0.970390021800995,-2.12020993232727
