sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-0.444835,0.0293858125,-0.0148468125
0.7,3,-0.871027125,0.3445039375,7.287839625
1.1,3,-0.9153668125,0.3962476875,8.9103306875
1.4,3,-0.9234853125,0.399474375,9.1737135
1.7,3,-0.9373321875,0.4007601875,9.3181950625
2,3,-0.94045575,0.4014258125,9.369665
2.3,3,-0.9431555625,0.400112,9.44604525
2.6,3,-0.94312975,0.403320375,9.489181125
2.9,3,-0.9419371875,0.403314375,9.494225
0.4,5,-0.4448786875,0.0293858125,-0.0150750625
0.7,5,-0.726172,0.370352375,7.901992875
1.1,5,-0.2474761875,0.4604364375,12.164781875
1.4,5,-0.337333125,0.3951525625,13.711948125
1.7,5,-0.531832375,0.324280375,14.582519625
2,5,-0.722465375,0.268309,15.0447040625
2.3,5,-0.8676953125,0.219558875,15.2517970625
2.6,5,-0.9759856875,0.1896753125,15.6177249375
2.9,5,-1.063415625,0.16302775,15.7059465625
0.4,7,-0.4448786875,0.0293858125,-0.0150750625
0.7,7,-0.7227973125,0.3690336875,7.9109270625
1.1,7,-0.1022770625,0.4563426875,12.7054510625
1.4,7,-0.44268125,0.298116625,15.176711625
1.7,7,-1.35236425,0.0543470625,16.6953175
2,7,-2.2690660625,-0.179500125,17.1724685625
2.3,7,-3.0273595625,-0.36852225,17.1682261875
2.6,7,-3.609270875,-0.521794375,17.039168625
2.9,7,-4.051637,-0.64050125,16.8482400625
0.4,9,-0.4448786875,0.0293858125,-0.0150750625
0.7,9,-0.7227973125,0.3690336875,7.910647375
1.1,9,-0.0930239375,0.456328625,12.7332435625
1.4,9,-0.5347180625,0.275274125,15.3960706875
1.7,9,-1.938173875,-0.0697926875,17.109623
2,9,-3.6242346875,-0.46920525,17.3388293125
2.3,9,-5.13013175,-0.840471375,16.8943603125
2.6,9,-6.331573875,-1.155937,16.4995745
2.9,9,-7.259341375,-1.41359625,16.230308875
0.4,11,-0.4448786875,0.0293858125,-0.0150750625
0.7,11,-0.7227973125,0.3690336875,7.910647375
1.1,11,-0.093077625,0.456328625,12.733405625
1.4,11,-0.5482888125,0.272675,15.4157603125
1.7,11,-2.112788125,-0.100296375,17.1789108125
2,11,-4.222445875,-0.576949,17.3432311875
2.3,11,-6.291522125,-1.079323,16.8249825625
2.6,11,-8.04335675,-1.533509375,16.4480174375
2.9,11,-9.4423574375,-1.9286845,16.4023264375
0.4,13,-0.4448786875,0.0293858125,-0.0150750625
0.7,13,-0.7227973125,0.3690336875,7.910647375
1.1,13,-0.0930055,0.456328625,12.733637125
1.4,13,-0.54885,0.272675,15.415548875
1.7,13,-2.143573875,-0.1028981875,17.18821175
2,13,-4.40230525,-0.60481425,17.3463864375
2.3,13,-6.773989375,-1.161077125,16.8227835
2.6,13,-8.9102980625,-1.706703625,16.553543125
2.9,13,-10.6977263125,-2.20097775,16.8092444375
0.4,15,-0.4448786875,0.0293858125,-0.0150750625
0.7,15,-0.7227973125,0.3690336875,7.910647375
1.1,15,-0.0930055,0.456328625,12.733637125
1.4,15,-0.5488873125,0.272675,15.415879875
1.7,15,-2.147436,-0.1035431875,17.1896916875
2,15,-4.441959125,-0.616497625,17.3489179375
2.3,15,-6.931527,-1.1850271875,16.8302151875
2.6,15,-9.2785889375,-1.7709041875,16.6149571875
2.9,15,-11.331528375,-2.3313203125,16.98492325
0.4,17,-0.4448786875,0.0293858125,-0.0150750625
0.7,17,-0.7227973125,0.3690336875,7.910647375
1.1,17,-0.0930055,0.456328625,12.733637125
1.4,17,-0.5488873125,0.272675,15.4159625625
1.7,17,-2.1476720625,-0.1035431875,17.189952
2,17,-4.4483494375,-0.617151375,17.3533971875
2.3,17,-6.9729695,-1.1889169375,16.830827375
2.6,17,-9.4101814375,-1.7948709375,16.639544125
2.9,17,-11.6123269375,-2.3824950625,17.0607119375
0.4,19,-0.4448786875,0.0293858125,-0.0150750625
0.7,19,-0.7227973125,0.3690336875,7.910647375
1.1,19,-0.0930055,0.456328625,12.733637125
1.4,19,-0.5488873125,0.272675,15.4159625625
1.7,19,-2.147672875,-0.1035431875,17.190204625
2,19,-4.4492214375,-0.617151375,17.352122625
2.3,19,-6.9816470625,-1.1895645625,16.8345860625
2.6,19,-9.44979075,-1.80200225,16.6477405625
2.9,19,-11.720964375,-2.3993456875,17.095127375
