name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_3-10,avg,otsu,17,29.209,26.222,-10.2263,0.945,0.934,-1.16402,50.638,67.005,32.32158
Case_4-01,avg,otsu,17,30.82,28.753,-6.70668,0.941,0.956,1.59405,50.182,60.267,20.09685
Case_4-02,avg,otsu,17,29.903,27.891,-6.72842,0.969,0.973,0.4128,54.512,66.469,21.93462
Case_4-03,avg,otsu,17,30.238,28.028,-7.30868,0.962,0.967,0.51975,54.727,62.892,14.91951
Case_4-04,avg,otsu,17,29.852,27.817,-6.81696,0.971,0.973,0.20597,53.385,66.403,24.38513
Case_4-05,avg,otsu,17,29.862,27.697,-7.25002,0.966,0.968,0.20704,50.217,68.278,35.96591
Case_4-06,avg,otsu,17,29.885,27.317,-8.59294,0.967,0.969,0.20683,52.979,68.859,29.97414
Case_4-07,avg,otsu,17,30.169,28.577,-5.27694,0.965,0.972,0.72539,57.885,65.848,13.75659
Case_4-08,avg,otsu,17,30.821,30.335,-1.57685,0.965,0.976,1.1399,54.082,63.534,17.47716
Case_4-09,avg,otsu,17,30.267,28.944,-4.3711,0.97,0.976,0.61856,54.688,64.951,18.76646
Case_4-10,avg,otsu,17,29.75,27.345,-8.08403,0.963,0.965,0.20768,54.452,65.871,20.97076
Case_5-01,avg,otsu,17,30.375,27.793,-8.50041,0.925,0.928,0.32432,51.158,68.203,33.31835
Case_5-02,avg,otsu,17,30.513,27.847,-8.73726,0.9,0.909,1,56.432,67.847,20.22788
Case_5-04,avg,otsu,17,30.824,28.25,-8.35064,0.9,0.918,2,57.4,68.565,19.45122
Case_5-05,avg,otsu,17,30.629,27.611,-9.85341,0.927,0.93,0.32362,51.942,68.386,31.65839
Case_5-07,avg,otsu,17,30.833,28.198,-8.54604,0.905,0.919,1.54696,57.058,66.89,17.23159
Case_5-08,avg,otsu,17,30.476,27.515,-9.71584,0.913,0.918,0.54765,52.033,68.093,30.86503
Case_6-01,avg,otsu,17,28.951,24.694,-14.70416,0.929,0.911,-1.93757,47.875,64.588,34.90966
Case_6-02,avg,otsu,17,28.79,24.353,-15.4116,0.925,0.905,-2.16216,47.492,63.407,33.51091
Case_6-03,avg,otsu,17,28.857,24.737,-14.2773,0.933,0.916,-1.82208,47.87,64.689,35.13474
Case_6-04,avg,otsu,17,29.591,26.361,-10.91548,0.928,0.924,-0.43103,54.976,66.955,21.78951
Case_6-05,avg,otsu,17,28.681,24.556,-14.38234,0.935,0.921,-1.49733,46.298,63.508,37.17223
Case_6-06,avg,otsu,17,29.075,25.894,-10.94067,0.941,0.937,-0.42508,46.161,66.174,43.35478
Case_6-07,avg,otsu,17,29.692,26.768,-9.84777,0.932,0.929,-0.32189,52.893,67.926,28.42153
Case_6-08,avg,otsu,17,28.817,25.127,-12.80494,0.921,0.911,-1.08578,45.842,64.285,40.23167
Case_6-10,avg,otsu,17,29.354,25.331,-13.70512,0.929,0.92,-0.96878,50.749,63.223,24.57979
Case_7-01,avg,otsu,17,33.076,31.285,-5.4148,0.876,0.891,1.71233,55.293,51.078,-7.62303
Case_7-02,avg,otsu,17,32.912,31.408,-4.56976,0.88,0.895,1.70455,56.66,51.723,-8.71338
Case_7-03,avg,otsu,17,32.607,29.783,-8.66072,0.876,0.883,0.79909,53.227,52.868,-0.67447
Case_7-04,avg,otsu,17,32.263,30.626,-5.07392,0.847,0.859,1.41677,55.392,51.758,-6.56051
Case_7-05,avg,otsu,17,31.817,29.21,-8.19373,0.844,0.853,1.06635,53.421,52.634,-1.4732
Case_7-06,avg,otsu,17,31.825,29.295,-7.94973,0.853,0.858,0.58617,54.137,52.813,-2.44565
Case_7-07,avg,otsu,17,31.969,29.633,-7.30708,0.862,0.867,0.58005,52.948,48.389,-8.61033
Case_7-08,avg,otsu,17,31.797,29.523,-7.15162,0.851,0.86,1.05758,53.759,53.796,0.06883
Case_7-09,avg,otsu,17,31.45,29.285,-6.88394,0.872,0.883,1.26147,51.383,53.584,4.28352
Case_7-10,avg,otsu,17,32.033,30.66,-4.2862,0.794,0.808,1.76322,55.417,49.036,-11.51452
Case_7-12,avg,otsu,17,31.294,28.853,-7.80022,0.845,0.848,0.35503,54.042,50.86,-5.88801
Case_8-01,avg,otsu,17,30.468,25.927,-14.90416,0.865,0.82,-5.20231,58.992,62.245,5.51431
Case_8-02,avg,otsu,17,31.13,27.131,-12.84613,0.877,0.858,-2.16648,48.867,55.655,13.89076
Case_8-03,avg,otsu,17,31.107,27.587,-11.31578,0.865,0.864,-0.11561,55.881,58.375,4.46306
Case_8-04,avg,otsu,17,31.043,27.235,-12.26686,0.872,0.854,-2.06422,56.009,53.874,-3.81189
Case_9-01,avg,otsu,17,28.266,23.491,-16.89309,0.916,0.847,-7.53275,53.209,59.94,12.65012
Case_9-02,avg,otsu,17,28.948,23.789,-17.82161,0.887,0.809,-8.79369,58.069,60.103,3.50273
Case_9-03,avg,otsu,17,28.269,22.311,-21.07609,0.857,0.683,-20.30338,50.409,66.508,31.93676
Case_9-04,avg,otsu,17,28.628,23.987,-16.2114,0.898,0.816,-9.1314,51.349,66.908,30.30049
Case_9-05,avg,otsu,17,28.204,22.664,-19.6426,0.883,0.738,-16.42129,51.334,66.885,30.29376
Case_9-07,avg,otsu,17,28.334,22.217,-21.5889,0.873,0.72,-17.52577,50.063,59.609,19.06797
Case_9-08,avg,otsu,17,28.486,22.738,-20.17833,0.887,0.767,-13.52875,50.158,61.982,23.57351
Case_9-10,avg,otsu,17,28.187,22.627,-19.72541,0.893,0.772,-13.54983,53.103,65.198,22.77649
