name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-02,gauss,otsu,0.7,10,33.48185,32.34348,-3.39996,0.97174,0.97069,-0.10805,52.75041,55.577,5.35842
Case_1-02,gauss,otsu,0.7,12,33.48185,32.34348,-3.39996,0.97174,0.97069,-0.10805,52.75041,55.577,5.35842
Case_1-02,gauss,otsu,1.1,2,33.48185,22.04565,-34.15642,0.97174,0.8972,-7.67078,52.75041,46.75504,-11.36554
Case_1-02,gauss,otsu,1.1,4,33.48185,31.94571,-4.58798,0.97174,0.97206,0.03293,52.75041,56.1207,6.38913
Case_1-02,gauss,otsu,1.1,6,33.48185,33.07827,-1.20537,0.97174,0.9751,0.34577,52.75041,58.05814,10.06197
Case_1-02,gauss,otsu,1.1,8,33.48185,33.10741,-1.11834,0.97174,0.97521,0.35709,52.75041,58.09671,10.13509
Case_1-02,gauss,otsu,1.1,10,33.48185,33.10817,-1.11607,0.97174,0.97521,0.35709,52.75041,58.09694,10.13552
Case_1-02,gauss,otsu,1.1,12,33.48185,33.10817,-1.11607,0.97174,0.97521,0.35709,52.75041,58.09694,10.13552
Case_1-02,gauss,otsu,1.4,2,33.48185,22.0454,-34.15716,0.97174,0.89728,-7.66254,52.75041,46.89724,-11.09597
Case_1-02,gauss,otsu,1.4,4,33.48185,31.95525,-4.55949,0.97174,0.97259,0.08747,52.75041,55.01603,4.29498
Case_1-02,gauss,otsu,1.4,6,33.48185,33.19795,-0.84792,0.97174,0.97638,0.47749,52.75041,58.52265,10.94255
Case_1-02,gauss,otsu,1.4,8,33.48185,33.2673,-0.64079,0.97174,0.97675,0.51557,52.75041,58.78153,11.43331
Case_1-02,gauss,otsu,1.4,10,33.48185,33.27316,-0.62329,0.97174,0.97679,0.51969,52.75041,58.79828,11.46507
Case_1-02,gauss,otsu,1.4,12,33.48185,33.27335,-0.62273,0.97174,0.97679,0.51969,52.75041,58.79834,11.46518
Case_1-02,gauss,otsu,1.7,2,33.48185,22.0449,-34.15866,0.97174,0.89731,-7.65946,52.75041,46.96423,-10.96898
Case_1-02,gauss,otsu,1.7,4,33.48185,31.9176,-4.67193,0.97174,0.97266,0.09468,52.75041,53.66538,1.73453
Case_1-02,gauss,otsu,1.7,6,33.48185,33.03479,-1.33523,0.97174,0.97642,0.48161,52.75041,57.81695,9.60474
Case_1-02,gauss,otsu,1.7,8,33.48185,32.98342,-1.48866,0.97174,0.97672,0.51248,52.75041,58.60171,11.09243
Case_1-02,gauss,otsu,1.7,10,33.48185,32.94542,-1.60215,0.97174,0.97674,0.51454,52.75041,58.70757,11.29311
Case_1-02,gauss,otsu,1.7,12,33.48185,32.93669,-1.62823,0.97174,0.97674,0.51454,52.75041,58.72165,11.3198
Case_1-02,gauss,otsu,2,2,33.48185,22.04453,-34.15976,0.97174,0.89731,-7.65946,52.75041,46.97964,-10.93976
Case_1-02,gauss,otsu,2,4,33.48185,31.87732,-4.79224,0.97174,0.9726,0.0885,52.75041,52.54318,-0.39285
Case_1-02,gauss,otsu,2,6,33.48185,32.79626,-2.04765,0.97174,0.97595,0.43324,52.75041,56.35555,6.83434
Case_1-02,gauss,otsu,2,8,33.48185,32.47466,-3.00817,0.97174,0.97564,0.40134,52.75041,57.64941,9.28713
Case_1-02,gauss,otsu,2,10,33.48185,32.26942,-3.62116,0.97174,0.97531,0.36738,52.75041,57.93111,9.82116
Case_1-02,gauss,otsu,2,12,33.48185,32.19686,-3.83787,0.97174,0.97519,0.35503,52.75041,57.93462,9.82781
Case_1-03,gauss,otsu,0.4,2,33.98032,22.78039,-32.96005,0.97747,0.909,-7.00482,49.54837,35.95925,-27.42597
Case_1-03,gauss,otsu,0.4,4,33.98032,31.76543,-6.51816,0.97747,0.97066,-0.6967,49.54837,50.21757,1.3506
Case_1-03,gauss,otsu,0.4,6,33.98032,32.54319,-4.2293,0.97747,0.97251,-0.50743,49.54837,49.57588,0.05552
Case_1-03,gauss,otsu,0.4,8,33.98032,32.54319,-4.2293,0.97747,0.97251,-0.50743,49.54837,49.57589,0.05554
Case_1-03,gauss,otsu,0.4,10,33.98032,32.5432,-4.22927,0.97747,0.97251,-0.50743,49.54837,49.57589,0.05554
Case_1-03,gauss,otsu,0.4,12,33.98032,32.5432,-4.22927,0.97747,0.97251,-0.50743,49.54837,49.57589,0.05554
Case_1-03,gauss,otsu,0.7,2,33.98032,22.82863,-32.81808,0.97747,0.91204,-6.69381,49.54837,42.92748,-13.36248
Case_1-03,gauss,otsu,0.7,4,33.98032,32.39418,-4.66782,0.97747,0.97536,-0.21586,49.54837,53.51321,8.00196
Case_1-03,gauss,otsu,0.7,6,33.98032,33.35068,-1.85295,0.97747,0.97735,-0.01228,49.54837,52.02073,4.98979
Case_1-03,gauss,otsu,0.7,8,33.98032,33.35076,-1.85272,0.97747,0.97735,-0.01228,49.54837,52.02072,4.98977
Case_1-03,gauss,otsu,0.7,10,33.98032,33.35076,-1.85272,0.97747,0.97735,-0.01228,49.54837,52.02072,4.98977
Case_1-03,gauss,otsu,0.7,12,33.98032,33.35076,-1.85272,0.97747,0.97735,-0.01228,49.54837,52.02072,4.98977
Case_1-03,gauss,otsu,1.1,2,33.98032,22.83455,-32.80066,0.97747,0.91255,-6.64164,49.54837,46.61157,-5.92714
Case_1-03,gauss,otsu,1.1,4,33.98032,32.70488,-3.75347,0.97747,0.97771,0.02455,49.54837,55.14707,11.29946
Case_1-03,gauss,otsu,1.1,6,33.98032,33.98031,-3e-05,0.97747,0.98058,0.31817,49.54837,52.9872,6.94035
Case_1-03,gauss,otsu,1.1,8,33.98032,34.00419,0.07025,0.97747,0.98066,0.32635,49.54837,52.93623,6.83748
Case_1-03,gauss,otsu,1.1,10,33.98032,34.00484,0.07216,0.97747,0.98066,0.32635,49.54837,52.93636,6.83774
Case_1-03,gauss,otsu,1.1,12,33.98032,34.00484,0.07216,0.97747,0.98066,0.32635,49.54837,52.93636,6.83774
Case_1-03,gauss,otsu,1.4,2,33.98032,22.83484,-32.79981,0.97747,0.91262,-6.63447,49.54837,47.62361,-3.88461
Case_1-03,gauss,otsu,1.4,4,33.98032,32.71063,-3.73655,0.97747,0.97806,0.06036,49.54837,55.58876,12.1909
Case_1-03,gauss,otsu,1.4,6,33.98032,34.04623,0.19397,0.97747,0.98141,0.40308,49.54837,54.26178,9.51274
Case_1-03,gauss,otsu,1.4,8,33.98032,34.09951,0.35076,0.97747,0.98166,0.42866,49.54837,54.08221,9.15033
Case_1-03,gauss,otsu,1.4,10,33.98032,34.10516,0.36739,0.97747,0.98169,0.43173,49.54837,54.04059,9.06633
Case_1-03,gauss,otsu,1.4,12,33.98032,34.10545,0.36824,0.97747,0.98169,0.43173,49.54837,54.03759,9.06028
Case_1-03,gauss,otsu,1.7,2,33.98032,22.83461,-32.80049,0.97747,0.91264,-6.63243,49.54837,48.09764,-2.92791
Case_1-03,gauss,otsu,1.7,4,33.98032,32.67529,-3.84055,0.97747,0.97809,0.06343,49.54837,55.41624,11.84271
Case_1-03,gauss,otsu,1.7,6,33.98032,33.88052,-0.2937,0.97747,0.98132,0.39387,49.54837,54.95133,10.90442
Case_1-03,gauss,otsu,1.7,8,33.98032,33.83789,-0.41915,0.97747,0.98151,0.41331,49.54837,54.22746,9.44348
Case_1-03,gauss,otsu,1.7,10,33.98032,33.81413,-0.48908,0.97747,0.98154,0.41638,49.54837,54.04163,9.06843
Case_1-03,gauss,otsu,1.7,12,33.98032,33.80867,-0.50515,0.97747,0.98154,0.41638,49.54837,54.01622,9.01715
Case_1-03,gauss,otsu,2,2,33.98032,22.83441,-32.80107,0.97747,0.91265,-6.63141,49.54837,48.30521,-2.50898
Case_1-03,gauss,otsu,2,4,33.98032,32.63837,-3.9492,0.97747,0.97803,0.05729,49.54837,55.0766,11.15724
Case_1-03,gauss,otsu,2,6,33.98032,33.66239,-0.93563,0.97747,0.98091,0.35193,49.54837,54.98222,10.96676
Case_1-03,gauss,otsu,2,8,33.98032,33.41143,-1.67417,0.97747,0.98069,0.32942,49.54837,53.98851,8.96122
Case_1-03,gauss,otsu,2,10,33.98032,33.26824,-2.09557,0.97747,0.98051,0.31101,49.54837,53.52689,8.02957
Case_1-03,gauss,otsu,2,12,33.98032,33.22017,-2.23703,0.97747,0.98045,0.30487,49.54837,53.40931,7.79226
Case_1-04,gauss,otsu,0.4,2,33.94747,22.88128,-32.59798,0.97893,0.91492,-6.53877,52.91561,38.08437,-28.0281
Case_1-04,gauss,otsu,0.4,4,33.94747,31.89525,-6.04528,0.97893,0.97293,-0.61291,52.91561,53.66742,1.42077
Case_1-04,gauss,otsu,0.4,6,33.94747,32.55777,-4.09368,0.97893,0.97439,-0.46377,52.91561,53.39784,0.91132
Case_1-04,gauss,otsu,0.4,8,33.94747,32.55777,-4.09368,0.97893,0.97439,-0.46377,52.91561,53.39784,0.91132
Case_1-04,gauss,otsu,0.4,10,33.94747,32.55777,-4.09368,0.97893,0.97439,-0.46377,52.91561,53.39784,0.91132
Case_1-04,gauss,otsu,0.4,12,33.94747,32.55775,-4.09374,0.97893,0.97439,-0.46377,52.91561,53.39784,0.91132
Case_1-04,gauss,otsu,0.7,2,33.94747,22.92944,-32.45612,0.97893,0.91772,-6.25275,52.91561,44.21764,-16.43744
Case_1-04,gauss,otsu,0.7,4,33.94747,32.5167,-4.21466,0.97893,0.97719,-0.17775,52.91561,55.68054,5.22517
Case_1-04,gauss,otsu,0.7,6,33.94747,33.33667,-1.79925,0.97893,0.97878,-0.01532,52.91561,55.20485,4.32621
Case_1-04,gauss,otsu,0.7,8,33.94747,33.33676,-1.79899,0.97893,0.97878,-0.01532,52.91561,55.2049,4.3263
Case_1-04,gauss,otsu,0.7,10,33.94747,33.33676,-1.79899,0.97893,0.97878,-0.01532,52.91561,55.2049,4.3263
Case_1-04,gauss,otsu,0.7,12,33.94747,33.33676,-1.79899,0.97893,0.97878,-0.01532,52.91561,55.2049,4.3263
Case_1-04,gauss,otsu,1.1,2,33.94747,22.93605,-32.43664,0.97893,0.91823,-6.20065,52.91561,47.3091,-10.59519
Case_1-04,gauss,otsu,1.1,4,33.94747,32.85524,-3.21741,0.97893,0.97947,0.05516,52.91561,56.38175,6.55032
Case_1-04,gauss,otsu,1.1,6,33.94747,34.00135,0.15872,0.97893,0.98195,0.3085,52.91561,55.78715,5.42664
Case_1-04,gauss,otsu,1.1,8,33.94747,34.02611,0.23165,0.97893,0.98203,0.31667,52.91561,55.76505,5.38488
Case_1-04,gauss,otsu,1.1,10,33.94747,34.02674,0.23351,0.97893,0.98203,0.31667,52.91561,55.76504,5.38486
Case_1-04,gauss,otsu,1.1,12,33.94747,34.02674,0.23351,0.97893,0.98203,0.31667,52.91561,55.76504,5.38486
Case_1-04,gauss,otsu,1.4,2,33.94747,22.93659,-32.43505,0.97893,0.9183,-6.1935,52.91561,48.08861,-9.12207
Case_1-04,gauss,otsu,1.4,4,33.94747,32.88889,-3.11829,0.97893,0.97994,0.10317,52.91561,56.15278,6.11761
Case_1-04,gauss,otsu,1.4,6,33.94747,34.13885,0.56375,0.97893,0.98298,0.41372,52.91561,56.30982,6.41438
Case_1-04,gauss,otsu,1.4,8,33.94747,34.20216,0.75025,0.97893,0.98326,0.44232,52.91561,56.11323,6.04287
Case_1-04,gauss,otsu,1.4,10,33.94747,34.2083,0.76833,0.97893,0.98329,0.44538,52.91561,56.07628,5.97304
Case_1-04,gauss,otsu,1.4,12,33.94747,34.2086,0.76922,0.97893,0.98329,0.44538,52.91561,56.07594,5.9724
Case_1-04,gauss,otsu,1.7,2,33.94747,22.9365,-32.43532,0.97893,0.91833,-6.19043,52.91561,48.44757,-8.44371
Case_1-04,gauss,otsu,1.7,4,33.94747,32.87263,-3.16619,0.97893,0.98006,0.11543,52.91561,55.65531,5.17749
Case_1-04,gauss,otsu,1.7,6,33.94747,34.03773,0.26588,0.97893,0.98316,0.4321,52.91561,56.12203,6.0595
Case_1-04,gauss,otsu,1.7,8,33.94747,34.01715,0.20526,0.97893,0.98345,0.46173,52.91561,55.53991,4.95941
Case_1-04,gauss,otsu,1.7,10,33.94747,33.99342,0.13536,0.97893,0.98349,0.46581,52.91561,55.35975,4.61894
Case_1-04,gauss,otsu,1.7,12,33.94747,33.98759,0.11818,0.97893,0.98349,0.46581,52.91561,55.33936,4.58041
Case_1-04,gauss,otsu,2,2,33.94747,22.93637,-32.4357,0.97893,0.91834,-6.18941,52.91561,48.55738,-8.23619
Case_1-04,gauss,otsu,2,4,33.94747,32.8484,-3.23756,0.97893,0.98007,0.11645,52.91561,55.19249,4.30285
Case_1-04,gauss,otsu,2,6,33.94747,33.86397,-0.24597,0.97893,0.98299,0.41474,52.91561,55.66209,5.1903
Case_1-04,gauss,otsu,2,8,33.94747,33.63502,-0.92039,0.97893,0.98296,0.41167,52.91561,54.77037,3.50513
Case_1-04,gauss,otsu,2,10,33.94747,33.48292,-1.36844,0.97893,0.98282,0.39737,52.91561,54.3933,2.79254
Case_1-04,gauss,otsu,2,12,33.94747,33.42857,-1.52854,0.97893,0.98277,0.39227,52.91561,54.32601,2.66538
Case_1-05,gauss,otsu,0.4,2,33.96857,22.88277,-32.63546,0.97769,0.90979,-6.94494,49.42568,35.78272,-27.60298
Case_1-05,gauss,otsu,0.4,4,33.96857,31.8946,-6.10556,0.97769,0.97139,-0.64438,49.42568,49.48138,0.11269
Case_1-05,gauss,otsu,0.4,6,33.96857,32.53989,-4.20589,0.97769,0.97285,-0.49504,49.42568,48.75404,-1.35889
Case_1-05,gauss,otsu,0.4,8,33.96857,32.53989,-4.20589,0.97769,0.97285,-0.49504,49.42568,48.75404,-1.35889
Case_1-05,gauss,otsu,0.4,10,33.96857,32.53989,-4.20589,0.97769,0.97285,-0.49504,49.42568,48.75404,-1.35889
Case_1-05,gauss,otsu,0.4,12,33.96857,32.53989,-4.20589,0.97769,0.97285,-0.49504,49.42568,48.75404,-1.35889
Case_1-05,gauss,otsu,0.7,2,33.96857,22.9326,-32.48877,0.97769,0.91277,-6.64014,49.42568,41.96469,-15.09537
Case_1-05,gauss,otsu,0.7,4,33.96857,32.55793,-4.15278,0.97769,0.97606,-0.16672,49.42568,52.13521,5.48203
Case_1-05,gauss,otsu,0.7,6,33.96857,33.3576,-1.79863,0.97769,0.97765,-0.00409,49.42568,50.84987,2.88148
Case_1-05,gauss,otsu,0.7,8,33.96857,33.35769,-1.79837,0.97769,0.97765,-0.00409,49.42568,50.84988,2.8815
Case_1-05,gauss,otsu,0.7,10,33.96857,33.35769,-1.79837,0.97769,0.97765,-0.00409,49.42568,50.84988,2.8815
Case_1-05,gauss,otsu,0.7,12,33.96857,33.35769,-1.79837,0.97769,0.97765,-0.00409,49.42568,50.84988,2.8815
Case_1-05,gauss,otsu,1.1,2,33.96857,22.9386,-32.4711,0.97769,0.91326,-6.59002,49.42568,45.50458,-7.93333
Case_1-05,gauss,otsu,1.1,4,33.96857,32.88485,-3.19036,0.97769,0.97836,0.06853,49.42568,54.34008,9.94301
Case_1-05,gauss,otsu,1.1,6,33.96857,33.98582,0.05078,0.97769,0.98079,0.31707,49.42568,52.53449,6.28987
Case_1-05,gauss,otsu,1.1,8,33.96857,34.0084,0.11726,0.97769,0.98086,0.32423,49.42568,52.49251,6.20493
Case_1-05,gauss,otsu,1.1,10,33.96857,34.00905,0.11917,0.97769,0.98086,0.32423,49.42568,52.49255,6.20501
